n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,monte_carlo,monte_carlo_max_hop,two_hop
494,773,208,301,1,850,715,459,633,473,7,223,305,117,787,644,308,558,623,159,434,219.72,72.84,76.23999999999998
723,769,482,94,694,509,778,983,237,556,780,415,286,647,22,123,276,904,684,41,0,220.65,83.13,88.83999999999999
262,407,538,911,595,727,405,455,104,764,258,362,290,892,773,688,930,200,609,87,36,213.19,72.19,80.15999999999998
72,811,268,312,546,348,121,542,880,255,912,942,780,167,69,424,881,296,289,532,137,209.56,54.85,59.44000000000001
587,535,642,215,544,107,420,978,649,556,413,759,797,925,807,285,299,452,380,581,643,198.43,63.27,65.32
141,160,126,713,123,390,410,605,479,142,573,684,306,362,647,484,760,425,223,488,500,209.45,61.09,64.88
711,513,325,504,667,981,61,454,307,146,763,507,53,908,636,220,26,363,482,400,909,211.75,68.2,74.52
10,866,539,68,703,887,83,702,972,759,946,685,404,6,369,42,118,635,3,276,894,211.38,108.74,116.00000000000007
655,716,299,744,922,232,144,769,586,294,195,107,444,471,733,338,393,172,338,431,663,199.74,51.2,53.15999999999999
918,703,445,151,458,955,725,151,536,323,132,213,932,191,454,357,808,398,437,826,503,202.79,60.31,74.27999999999996
398,747,225,814,200,449,962,209,600,727,50,927,397,34,239,648,86,891,191,372,58,210.17,66.51,70.11999999999998
760,653,693,177,238,625,304,627,88,721,889,524,769,291,789,898,904,361,421,469,55,214.95,57.7,59.83999999999999
647,713,528,681,979,664,977,560,952,752,956,440,594,465,501,260,721,487,220,345,272,212.71,58.71,59.719999999999985
43,44,53,166,358,3,296,670,7,143,65,805,438,696,227,993,623,406,571,943,226,219.1,106.49,114.92000000000006
464,197,347,622,104,620,904,87,813,326,330,548,466,914,332,261,29,534,45,194,377,218.33,60.74,62.839999999999996
82,214,890,537,354,192,857,206,257,688,746,753,308,319,529,880,393,260,493,352,892,212.42,68.76,73.99999999999997
729,245,45,313,956,565,74,9,471,507,741,448,48,939,828,422,505,471,450,120,87,213.02,76.99,84.32
83,246,101,846,783,157,423,905,941,218,451,627,78,837,437,572,772,907,849,403,40,214.23,60.26,63.519999999999996
981,184,255,501,225,131,860,891,285,956,360,327,445,109,570,921,292,624,554,807,206,208.92,65.64,71.99999999999997
728,303,796,452,526,619,473,549,649,267,279,237,16,121,629,802,728,101,176,750,424,211.93,56.54,62.16
254,223,291,900,753,675,6,759,548,527,438,879,50,124,393,660,279,121,994,754,578,216.04,76.73,79.39999999999999
367,235,691,733,720,559,676,288,226,757,851,923,245,66,530,314,690,335,239,382,643,209.47,56.56,59.63999999999998
491,293,596,175,140,829,15,566,516,335,375,599,650,25,831,132,897,405,158,999,181,210.94,73.54,78.63999999999997
522,78,138,783,211,800,937,793,508,583,785,712,992,218,240,750,135,835,239,778,393,207.68,57.47,60.67999999999998
361,623,605,135,644,510,922,939,110,630,853,26,539,610,367,500,466,316,12,981,225,214.65,67.62,72.64
568,668,166,676,900,506,828,976,755,492,559,321,721,868,80,265,140,618,411,720,195,213.66,58.0,63.319999999999986
841,324,804,298,393,966,60,213,39,322,743,765,984,255,351,883,451,684,743,675,673,215.38,59.23,62.39999999999999
231,266,352,687,166,312,17,364,587,552,59,749,645,154,361,22,502,642,62,25,247,218.65,75.22,78.67999999999998
46,12,231,968,669,334,68,840,63,353,995,679,432,139,913,944,221,459,445,145,366,214.68,74.06,77.43999999999998
319,181,664,336,745,804,765,418,391,9,419,912,270,546,544,823,753,703,721,473,777,215.04,73.5,74.11999999999998
42,578,943,125,418,976,399,175,3,512,141,636,889,677,526,860,750,716,151,81,337,213.83,96.21,102.92000000000009
243,860,848,840,180,252,968,22,979,825,917,172,760,806,858,700,574,172,735,80,437,213.23,56.25,59.48
949,885,612,106,635,643,468,727,153,629,616,41,258,348,825,755,750,385,27,640,954,221.28,74.17,81.63999999999999
910,37,508,91,366,299,687,154,469,241,519,364,166,753,771,414,345,276,822,504,967,206.58,54.94,57.52
402,15,318,543,922,295,563,480,35,791,544,584,565,268,956,703,39,466,404,738,122,209.25,73.18,85.79999999999997
413,354,507,52,21,279,757,35,260,697,696,595,719,794,951,296,702,780,212,780,541,212.19,61.65,64.04
528,348,395,854,995,256,213,118,579,337,824,991,965,946,248,600,690,737,545,697,896,198.63,46.63,49.87999999999999
361,166,938,888,921,156,338,866,765,839,9,598,835,52,578,159,975,352,371,298,640,214.29,69.75,72.64000000000001
300,330,506,801,413,615,441,174,1,807,144,582,44,452,128,349,951,9,971,738,491,215.67,79.82,85.92
931,969,680,838,678,797,263,765,626,192,71,562,958,434,285,972,850,178,542,173,64,211.74,65.05,68.59999999999998
674,654,161,593,112,964,516,647,815,556,619,393,772,445,272,318,291,13,438,797,839,215.98,63.74,66.16
735,287,968,264,550,539,567,325,350,194,722,801,442,810,145,865,6,768,523,159,803,210.19,68.45,73.72000000000001
676,718,945,800,576,393,369,475,972,37,575,934,421,651,628,817,823,778,233,921,16,211.7,52.67,54.2
370,541,963,162,696,199,646,362,642,716,508,19,748,752,255,585,913,247,281,189,967,215.76,64.5,67.6
776,948,430,79,586,458,242,761,730,460,884,521,916,826,829,721,102,980,192,168,451,209.48,60.64,65.47999999999998
945,66,950,436,649,404,962,278,258,447,902,775,792,364,624,335,92,314,30,504,11,221.17,66.76,72.27999999999999
