n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,monte_carlo,monte_carlo_max_hop,two_hop
92,602,522,551,680,507,410,860,708,465,173,421,395,163.77,33.59,35.639999999999986
537,463,47,899,110,462,605,131,121,959,943,696,512,196.38,42.03,45.319999999999986
937,179,79,402,313,468,817,724,9,259,108,684,359,198.26,56.21,59.760000000000005
225,177,25,150,437,685,94,344,994,839,664,476,50,196.18,43.86,43.31999999999999
878,920,486,247,66,493,142,572,31,141,712,514,555,193.06,40.18,40.519999999999996
61,49,204,559,940,6,841,833,535,345,698,541,896,191.35,51.56,54.559999999999995
244,143,380,503,1,134,553,119,252,110,477,216,817,185.94,42.56,45.039999999999985
54,630,220,641,388,344,637,663,879,403,925,957,734,186.75,39.19,42.8
537,519,799,938,691,166,523,107,853,837,155,642,980,168.03,36.72,36.959999999999994
215,177,386,206,304,348,441,147,437,133,407,321,816,187.78,44.65,43.999999999999986
306,830,101,575,102,484,278,291,540,783,500,286,234,189.06,40.6,39.71999999999999
430,719,140,715,560,674,106,31,616,564,769,206,217,191.75,34.52,36.84
199,400,593,40,660,141,640,24,760,268,719,739,486,185.68,39.85,40.400000000000006
552,48,754,790,881,842,229,855,147,612,320,39,705,165.53,35.69,36.56
200,110,143,651,710,557,938,190,781,978,94,703,920,164.49,30.54,30.720000000000002
889,475,644,298,986,213,161,843,332,717,839,283,870,172.11,31.45,30.880000000000003
924,530,582,69,422,919,425,683,737,34,466,304,675,176.97,40.29,40.319999999999986
882,124,651,719,751,278,966,932,16,219,428,341,267,183.89,37.67,37.400000000000006
550,745,401,607,538,765,945,913,205,440,790,131,709,180.16,35.35,36.999999999999986
174,805,895,458,892,465,993,354,392,484,627,260,629,179.49,42.04,42.64
195,594,487,455,196,773,480,870,587,345,316,72,174,172.57,40.45,43.59999999999998
378,619,641,880,482,227,786,630,669,674,590,906,131,165.98,35.86,38.87999999999998
698,956,315,890,212,548,856,843,306,100,12,807,891,193.64,45.38,50.15999999999999
29,202,320,59,326,546,262,811,741,680,351,842,451,190.39,41.49,44.999999999999986
