n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,monte_carlo,monte_carlo_max_hop,two_hop
867,204,816,141,401,490,615,559,507,553,331,370,440,761,415,858,37,55.51,35.67,36.18109203287534
776,940,38,185,156,366,224,303,243,372,587,886,199,961,639,693,352,63.12,40.26,39.835297998093424
392,372,548,725,114,967,229,195,356,189,547,217,21,27,120,195,303,101.13,62.62,65.01384385985689
845,706,748,329,960,554,509,963,42,973,313,819,736,821,402,167,142,57.13,31.24,33.314611205974444
384,632,474,359,364,5,457,714,139,458,30,761,802,944,749,733,428,70.25,44.77,45.5490347068102
216,117,338,302,611,571,55,916,80,493,165,997,691,539,62,185,855,78.08,46.04,46.458903833870686
629,246,614,340,613,20,742,676,23,391,447,236,819,599,141,636,43,96.2,59.75,59.7380893417366
137,187,619,292,239,445,757,321,553,649,380,174,747,353,950,691,856,57.83,37.97,37.74944547497706
557,675,981,586,958,353,264,611,343,988,550,32,557,155,374,584,883,66.18,39.05,38.73027096060363
873,201,506,482,848,122,75,904,642,609,200,162,146,564,728,143,611,70.91,46.68,46.366625128421944
858,52,551,839,354,895,961,82,726,964,48,803,856,619,152,556,180,71.12,42.08,42.19117046676576
269,639,58,302,486,903,886,287,214,658,483,778,289,542,707,771,982,56.31,37.68,37.850612852467094
63,909,143,294,940,426,46,2,354,542,617,874,939,865,368,73,205,82.47,49.98,50.578746066954636
443,693,81,819,434,807,934,33,290,203,866,693,978,200,838,176,206,78.14,47.77,50.06002618555089
732,940,764,945,82,95,10,909,3,978,298,532,530,537,434,66,94,155.74,92.17,95.30817974284098
535,655,346,683,172,645,204,522,708,562,63,706,63,66,142,446,987,62.66,36.24,40.944956920616974
138,912,106,988,780,529,332,525,347,680,283,136,601,599,121,593,656,74.7,44.8,45.6059772616622
638,72,616,978,5,160,44,786,278,558,659,435,792,311,607,367,986,84.33,51.71,52.003971916967046
777,156,537,371,549,467,253,639,463,174,494,667,594,557,26,594,571,65.28,38.73,41.01576861530213
583,990,198,267,980,601,700,587,743,612,977,713,462,966,340,165,311,59.87,39.12,37.604770568170345
164,323,980,307,870,323,722,214,546,495,632,299,275,377,881,679,169,59.5,37.23,39.48182263335535
322,99,884,238,816,918,336,652,854,198,180,451,98,998,317,33,533,76.06,45.29,46.42374303406723
5,47,887,965,2,897,670,700,569,182,228,939,251,381,990,660,402,89.95,53.48,54.05666248528338
395,247,647,452,971,749,442,297,519,91,351,809,44,98,189,56,416,81.26,47.92,49.22826698018735
4,401,167,444,700,754,45,571,227,998,382,351,520,357,899,698,135,81.66,48.31,50.15836176640222
0,354,372,98,777,387,586,219,501,360,959,587,443,566,748,93,401,104.22,57.73,59.868352512449604
161,88,459,396,537,215,769,27,94,292,102,129,130,467,448,755,357,107.24,65.82,66.16522342534704
776,923,904,416,325,410,685,316,910,803,405,918,935,745,105,817,942,65.22,37.76,37.40299450729246
348,902,384,521,850,78,727,499,445,734,376,899,232,589,875,636,167,50.64,35.1,33.30012311067059
946,438,291,126,343,547,36,532,898,795,644,833,688,700,243,628,188,74.56,47.75,48.64147172156593
793,490,236,898,530,363,945,432,450,427,544,864,682,126,506,886,964,67.89,41.27,43.214856264410116
12,859,715,441,781,366,480,903,759,767,287,201,144,341,368,156,271,85.37,55.28,54.66018644261309
554,734,971,577,937,676,998,999,495,791,614,810,139,993,501,951,394,53.06,31.52,31.56205682356597
759,488,356,636,520,839,773,968,805,997,921,32,760,816,684,445,260,61.63,37.99,37.42675258774629
606,636,710,191,904,662,548,180,866,18,470,978,702,890,585,312,135,83.87,47.17,48.590469346200244
46,2,838,238,789,348,158,322,836,335,858,460,588,236,280,813,57,82.54,49.94,51.60789064550103
684,64,36,451,113,738,754,653,248,230,484,817,548,64,557,628,167,82.85,46.01,49.94374083338859
178,200,5,874,198,525,814,195,225,978,14,513,494,334,357,271,587,102.69,64.51,65.15144181466309
