n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,monte_carlo,monte_carlo_max_hop,two_hop
12,109,269,812,984,138,572,121,31,408,263,500,217,71,745,41.1,31.16,33.339999999999996
282,782,179,911,138,157,101,875,24,812,222,609,335,913,429,36.45,26.84,26.779999999999998
920,711,486,626,586,499,462,330,987,629,464,197,819,181,544,29.5,21.4,22.010000000000005
115,226,685,841,142,400,228,601,360,476,577,788,663,281,606,27.86,22.31,22.410000000000007
858,610,875,197,583,934,231,754,27,416,249,406,590,766,122,34.73,28.1,26.980000000000004
940,659,35,924,322,372,822,510,660,259,931,446,385,310,369,31.13,22.65,22.94000000000001
537,729,601,381,597,926,58,421,654,603,184,312,296,603,680,29.32,23.2,25.280000000000005
483,246,106,471,910,589,164,375,589,438,693,985,479,819,335,27.6,21.24,22.950000000000006
73,464,443,497,12,878,906,111,621,66,492,444,653,60,655,40.8,31.97,31.3
26,850,749,999,845,527,539,359,371,164,932,183,491,544,72,35.5,26.79,27.529999999999998
415,600,613,117,30,355,836,666,238,627,752,549,257,849,945,33.27,25.31,26.04000000000001
623,534,993,896,830,945,270,851,800,395,369,727,967,3,634,44.63,35.42,36.379999999999995
352,428,307,179,505,868,804,361,38,16,555,822,209,6,793,44.72,32.27,33.53000000000001
45,841,31,486,660,105,575,425,495,334,957,897,481,207,210,37.17,26.3,26.659999999999997
383,147,112,216,50,956,228,888,999,275,427,225,365,486,378,34.73,25.21,24.7
153,379,710,773,909,653,742,286,860,194,760,835,924,575,56,29.55,24.63,24.660000000000004
513,204,205,410,999,937,541,954,940,47,690,435,654,981,24,32.31,25.46,25.39
942,936,966,875,654,78,749,83,121,691,621,683,809,197,517,30.27,22.8,22.740000000000006
775,101,530,582,582,493,996,338,905,684,190,451,215,785,876,31.0,23.92,24.919999999999998
789,991,9,225,334,219,555,580,303,153,614,7,29,299,107,46.53,35.61,36.32
414,524,901,220,680,212,746,422,570,608,556,669,769,612,946,34.34,24.17,24.650000000000002
510,91,443,887,890,608,884,552,919,174,965,141,687,621,204,32.57,23.68,24.200000000000003
645,718,869,289,431,307,713,410,674,33,992,448,220,201,304,29.75,24.96,25.520000000000003
238,755,441,371,773,48,667,939,322,371,740,366,415,441,366,25.3,18.44,23.76000000000001
542,418,855,292,801,157,619,991,668,610,263,671,202,624,477,36.42,23.71,25.8
513,177,644,565,7,153,66,229,547,261,475,618,12,991,216,42.94,35.75,35.82000000000001
558,312,59,990,885,856,575,40,501,398,127,358,331,140,889,35.54,24.74,25.230000000000008
297,552,3,939,596,276,813,799,882,133,275,647,328,88,760,46.38,36.93,37.56
657,542,612,358,122,592,622,933,0,248,313,639,213,214,70,42.33,31.38,31.230000000000008
441,920,27,629,361,811,323,930,206,946,877,590,772,417,391,38.0,27.49,27.5
809,576,762,849,55,60,190,671,573,873,620,240,536,973,254,33.64,26.06,25.770000000000003
