n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,monte_carlo,monte_carlo_max_hop,two_hop
320,135,132,549,83,482,250,713,86,817,438,990,590,682,251,282,62,36.1,30.24,30.659999999999997
504,717,254,49,720,204,815,292,903,382,906,100,73,430,787,321,388,40.09,30.6,31.200000000000006
770,787,569,0,917,292,669,962,777,134,588,28,452,146,836,704,671,43.16,34.65,34.81999999999999
800,977,19,745,48,718,437,274,109,831,824,391,575,133,328,67,313,41.92,29.46,30.860000000000007
173,140,268,509,692,330,292,34,65,555,782,756,570,28,28,124,51,41.31,31.33,35.93000000000001
992,133,846,365,446,880,264,972,974,626,17,236,540,439,128,371,206,39.54,29.16,29.960000000000008
338,366,12,167,598,634,846,167,744,97,274,543,620,175,645,726,147,39.75,31.11,34.02
456,783,961,444,813,439,121,341,324,456,936,233,472,610,444,175,452,33.56,24.12,28.010000000000005
49,785,684,958,164,545,484,992,503,610,1,106,129,833,870,429,701,39.04,29.37,29.499999999999993
53,212,1,33,930,590,241,493,721,902,362,402,475,220,206,283,841,38.77,31.19,31.19000000000001
205,310,575,528,365,782,769,804,247,375,360,828,254,833,679,860,930,35.17,26.43,27.000000000000004
870,63,632,506,410,357,146,146,851,244,501,390,38,96,173,406,101,40.0,28.78,30.380000000000013
771,734,288,921,942,204,815,816,773,331,488,699,481,883,546,638,93,34.11,25.93,25.540000000000003
819,203,385,705,10,106,524,619,600,635,189,832,398,22,324,694,27,45.82,36.04,35.55000000000001
624,319,525,392,513,487,558,720,707,408,460,806,835,593,946,957,709,36.14,26.43,26.629999999999995
570,686,62,549,150,817,426,371,981,607,20,695,788,534,211,290,293,37.64,29.75,29.479999999999997
79,27,89,792,364,625,594,883,777,963,731,423,314,991,951,14,281,48.98,33.64,35.53000000000001
951,733,240,73,38,771,90,686,984,979,307,918,359,704,820,858,954,38.62,28.03,28.639999999999997
756,620,625,575,213,494,529,94,917,123,244,350,998,804,557,433,402,36.56,26.32,26.050000000000008
992,3,687,399,387,182,768,668,541,921,212,932,693,628,329,395,331,51.57,42.18,42.66
111,863,705,910,566,704,732,382,254,908,102,217,300,312,816,274,816,33.71,25.88,28.25999999999999
637,79,918,973,171,78,647,422,784,189,230,671,64,583,579,641,850,35.46,27.67,27.760000000000005
655,899,559,745,416,426,236,435,494,541,610,926,250,309,428,287,86,31.74,24.66,24.550000000000008
619,910,989,338,191,431,31,152,118,302,576,568,617,576,188,444,194,38.98,25.88,28.899999999999995
333,608,104,661,805,706,338,746,78,62,975,496,141,854,531,980,74,39.36,29.13,29.680000000000003
326,193,870,479,660,393,948,923,234,914,713,630,860,816,488,860,103,31.61,25.65,26.76
1,198,688,160,114,95,343,155,376,630,778,107,588,776,451,753,330,40.36,29.64,29.730000000000008
835,788,823,187,730,915,946,562,979,594,640,890,988,891,105,374,105,32.93,23.85,25.5
833,66,200,211,331,383,177,469,912,696,760,783,85,251,412,964,556,34.46,26.71,26.880000000000003
477,384,5,120,611,985,383,135,700,3,507,390,985,350,967,760,73,52.36,42.15,43.49000000000001
502,778,960,738,729,303,16,119,828,490,362,768,755,200,940,351,391,37.15,31.22,29.53000000000001
145,297,927,510,657,713,784,807,90,589,112,303,417,345,965,868,64,34.29,27.0,26.83000000000001
531,442,51,225,430,243,277,682,737,75,149,277,990,98,566,489,442,32.17,25.72,29.54000000000001
184,554,864,395,876,956,250,94,463,364,132,830,85,5,837,784,144,41.86,31.96,32.34
369,830,16,21,256,575,469,979,392,888,529,80,54,994,223,198,997,45.49,32.66,32.76000000000001
822,453,12,483,531,87,979,285,612,977,859,703,481,520,23,54,163,48.03,34.55,35.81000000000001
402,789,797,512,445,880,607,962,924,676,660,633,651,601,36,220,24,39.88,31.67,30.11
