n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,monte_carlo,monte_carlo_max_hop,two_hop
4807,3016,6767,1878,8314,6387,8966,5475,8790,6599,2861,6321,9065,5885,3013,5944,6794,150.2,44.71,42.74727805425393
7183,3758,7282,7874,5655,4414,2781,8307,9923,6337,7980,700,2521,2812,376,7650,1507,222.94,55.1,55.07956473765948
1590,5244,3885,9841,924,789,7371,7642,5467,6063,27,1180,3192,6542,1720,5545,9320,312.33,74.03,71.97267997653331
5100,1804,7378,1325,3447,3943,799,2501,2344,9593,190,1836,3767,4710,3420,3605,9215,229.95,53.27,52.98153496192773
8447,6875,8272,9901,5225,8769,3082,7659,2909,1296,676,1843,9800,393,1661,3264,4178,168.14,47.34,47.6455791965908
1405,1786,7622,6539,3649,1783,7955,5669,6600,9881,7300,1817,4781,9738,7269,6216,3374,197.42,46.22,46.15667932599667
1915,8833,123,7605,4903,1265,5596,5671,3144,7938,1171,9055,5974,6928,1097,9926,8498,196.88,53.02,52.86596497742232
3508,4094,5743,1023,5491,3868,7058,7192,1379,4111,3569,5295,2707,3390,3583,7595,8777,161.08,40.26,41.47261937159568
6860,6025,3131,6705,7932,6667,7690,9626,572,4784,296,3024,1570,463,2468,4821,8249,205.03,49.49,48.81249676345478
8510,1005,7734,664,3191,3397,4521,8056,7084,616,5649,7670,3223,4707,2342,1693,7275,162.63,47.15,45.42868321688094
4904,6735,7271,1270,3368,2510,7984,4658,6144,6104,2643,7066,5110,7588,7767,8617,8881,184.35,41.59,41.04972629418014
3647,5893,4725,4672,481,7588,6119,5886,4872,3974,8512,164,234,2154,8697,2443,8779,228.56,58.06,57.340386258886774
341,2715,823,31,3341,7630,5814,5944,9054,575,8031,3031,3911,216,4535,7083,5542,389.9,80.55,81.16047197878163
839,9887,8945,1537,7373,5105,4288,4050,8169,6852,4265,5562,721,480,7037,611,2713,203.97,50.84,51.77713560686286
9236,4052,2222,6757,8336,5528,9041,2190,4580,272,2764,743,279,7959,990,7537,7659,204.32,50.06,51.1263920838287
8538,9873,8441,6789,6079,8493,2798,4812,2997,1208,2286,8963,1664,6687,5765,7276,7452,142.05,41.35,40.906354793667056
4561,4187,7414,4637,8680,2544,9457,5159,2288,8552,618,6748,7955,3776,7519,9592,4479,180.83,40.08,40.49462508751917
501,5185,9412,9793,9007,1901,7988,2051,4585,4385,1678,7130,1242,6083,551,8434,7979,169.42,48.06,48.21263758949958
7337,3196,5101,5665,2967,6280,6497,5180,807,4438,3509,620,5189,5200,6431,9096,4619,205.99,49.19,50.42435340307724
582,2154,6838,4099,6772,1298,8113,3764,3276,1303,8622,1886,2025,87,4623,1136,7065,241.25,61.05,60.96339267423757
4384,7910,7565,4388,4741,8947,9167,772,2861,3865,7972,2753,2362,2455,2914,7656,6514,186.25,47.91,45.72304713196249
139,2330,6419,894,2953,2886,5095,3106,2142,2404,799,8585,2490,8760,3510,6265,1754,252.54,58.63,56.572840164493314
7098,6387,2978,430,4600,1711,2151,1885,2379,4833,2079,6284,5774,9890,1260,3145,121,215.01,48.3,49.72057838533817
6076,2334,7837,4029,1053,5806,8946,7947,1700,5132,7745,349,5658,8697,7248,9320,6674,190.17,47.35,47.43805966196416
7603,8814,8816,5002,7246,2443,8756,7475,6290,3284,9737,4842,2940,4927,2751,5192,4356,124.86,37.01,38.613384672510236
3315,2136,869,9889,932,6705,2914,1877,9394,228,2587,2007,6609,9321,6130,8605,4507,224.74,49.77,50.12177074462878
1515,7592,8853,9517,7228,5338,2397,9674,9836,3580,5294,7474,8296,9235,6119,5212,9683,142.69,37.95,37.398791155025116
5872,9847,5636,5592,4698,4875,4419,2987,2018,9864,8205,3625,5587,4073,4626,7122,4372,153.64,41.5,40.598317637505495
7420,2127,7829,5480,8706,2881,8658,8538,7234,844,1135,6839,6971,9008,4771,972,3872,169.46,44.96,45.11046197801126
6253,6291,3460,1225,6006,8421,3516,906,8989,8094,1927,7063,6382,9181,5923,194,4925,224.7,50.83,50.30435431836653
6095,8279,6079,6537,7196,6103,1707,9575,8111,2395,5298,3603,0,6077,1053,3,2285,478.55,98.5,99.95525741409982
1336,3426,5253,7129,4636,3225,483,465,8827,5141,8754,7281,5963,3490,7231,5557,9571,176.64,47.36,46.43942586140209
