n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,monte_carlo,monte_carlo_max_hop,two_hop
3309,3478,3184,6413,9499,640,2262,385,4300,7784,8842,5296.17,81.63,81.77000000000002
783,3678,2366,9799,5120,625,3209,1775,2300,8917,3055,5296.4,86.04,82.31000000000004
1511,7600,4780,3422,2581,5313,4543,8493,9321,1106,6761,5286.34,66.84,64.28000000000002
6806,552,7460,4872,1999,4460,258,3512,6858,5459,4284,5297.52,82.66,79.50000000000004
8814,6429,9724,8609,3295,7040,2109,2798,7334,7446,5666,5295.18,56.62,58.71000000000005
6272,7753,4171,3126,9516,7800,7289,3147,7689,9393,5533,5247.35,53.02,55.720000000000034
5070,1159,2792,6053,9913,7722,3641,9451,2098,5043,3396,5291.77,58.91,58.88999999999999
8770,4901,1607,206,475,3242,5129,959,5225,8738,4192,5310.94,98.19,99.10000000000011
5617,7218,1179,6870,7710,299,4630,9499,9408,2160,3477,5295.29,75.16,70.84
2466,2658,9942,6155,1062,9636,7327,4574,1347,8118,7844,5299.69,74.89,77.97000000000011
3892,2478,9255,4903,3721,3324,5487,9688,6420,8584,6664,5296.37,53.92,55.01
3845,3490,9194,1014,4284,4086,2266,6410,7145,1956,7467,5292.8,66.51,64.39000000000003
6419,6471,7778,6224,4666,3524,3942,3671,900,8726,8599,5294.71,64.2,64.72000000000004
1482,9878,8905,58,881,6344,7055,6578,3791,8432,4469,5291.67,158.43,164.34000000000015
1654,5971,8360,5918,8518,8073,9517,1151,7539,3623,4581,5312.41,48.67,49.730000000000004
405,481,7840,684,2118,2322,3383,5270,3952,8809,795,5287.13,99.95,101.13000000000007
2373,4838,1672,9141,8861,1418,2234,7166,2296,555,5087,5300.32,82.92,80.21000000000006
8379,4395,7753,770,9114,5819,5571,1594,9928,5891,1753,5278.72,59.65,63.41000000000005
9979,5703,5954,4514,7834,4636,8344,9833,2454,419,726,5286.49,71.75,77.06000000000006
5576,7111,134,5725,8757,830,1257,8852,8300,9987,7135,5297.03,81.33,88.26000000000009
7022,6871,3930,2979,2663,737,260,9716,5784,2972,4829,5297.01,83.95,79.84000000000003
325,658,4040,9272,3597,6600,1037,5900,1816,9780,1107,5302.18,88.16,87.80000000000008
3975,3823,9013,3111,1686,102,6640,1310,8195,4604,9535,5292.2,90.52,94.03000000000004
3624,858,8610,8477,8646,6605,6997,2074,2536,6994,2123,5292.58,64.15,63.93000000000002
7533,6108,865,9369,2993,8460,7208,7167,9818,7306,2660,5291.05,64.3,62.730000000000096
8119,9740,2094,5750,2386,377,4117,3066,2473,6753,9335,5295.09,81.55,79.60000000000005
4102,7247,7701,7609,3082,6930,7133,4414,3594,5787,514,5296.71,70.46,73.74000000000008
6466,457,6988,4952,395,8975,7819,9321,4287,4432,4048,5299.43,79.86,82.62000000000002
7640,7487,5980,8551,7564,4034,9111,8760,2613,7550,4720,5293.01,56.6,55.25000000000008
5925,6878,1797,8280,4025,6337,1919,7088,9797,7560,8540,5294.48,67.48,65.81000000000006
7448,1477,6398,7414,5943,9126,5714,2712,2406,3824,2849,5294.7,55.79,58.32000000000007
6692,7391,8173,2828,6668,4324,5121,9344,6634,4901,4334,5308.48,56.34,56.62000000000005
5137,188,6567,9704,659,3376,7450,1660,1872,175,5938,5292.95,101.74,108.12000000000006
5284,9912,5190,6652,2926,5335,1318,8632,9826,7867,6591,5302.06,64.05,69.69000000000014
3856,7285,1547,9883,302,5645,497,4964,8084,2293,839,5305.12,92.89,94.10000000000002
154,5403,6648,7838,81,7899,9422,3335,3652,5367,2718,5308.58,101.95,102.38000000000014
