n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,monte_carlo,monte_carlo_max_hop,two_hop
1396,580,1154,4300,5007,8743,5568,1936,8686,4080,2679,1115,6796,6682.3,125.64,133.8200000000002
4746,4632,8516,2202,9404,8569,3445,8706,1725,6730,8905,6609,4564,6699.18,94.77,97.46000000000011
4788,7247,6091,9309,2257,2573,2020,1974,6249,6573,9683,7666,2286,6698.66,102.85,103.22000000000013
9168,4898,5800,7744,6801,3571,7810,8009,8217,5214,8072,986,7274,6688.82,104.28,106.12000000000016
4918,2339,8118,858,3534,418,5822,7725,6405,165,8631,1088,1333,6687.89,170.49,180.1500000000003
6473,105,5919,674,1903,61,4429,4792,3714,2304,9385,4717,3132,6689.73,193.42,211.06000000000031
1727,7110,7551,5409,6293,2756,5418,6909,7131,2425,7328,2416,8587,6685.47,117.46,119.88000000000024
5178,2117,3422,3060,7276,5720,6371,7000,8060,6382,3607,3214,7197,6693.54,96.98,102.69000000000011
3346,9609,815,6362,545,3834,1387,3059,5957,933,2840,3818,4874,6682.73,130.01,129.96000000000018
1419,8390,4660,5784,6740,7508,883,8456,8965,7055,9518,7448,8031,6688.73,104.12,98.54000000000008
4173,7793,3529,5524,4356,691,717,861,2668,5731,63,4748,116,6677.82,206.46,210.75000000000017
2300,1043,7008,3639,9971,6496,9138,3620,7433,3159,5562,9966,1676,6701.05,89.59,96.30000000000004
9934,1402,5226,5290,8780,7466,5327,4186,472,8552,726,3115,6040,6682.67,127.72,131.86000000000013
1312,3433,8593,5664,3076,3303,4116,4936,5115,8468,6302,4172,7898,6696.68,108.53,108.25000000000014
5635,3931,729,5010,9043,1185,150,7551,8115,7179,777,6752,8086,6693.92,150.37,150.15000000000018
7545,7210,1935,1402,1334,3950,1617,2519,6783,3497,7219,1263,6994,6690.55,143.49,143.65000000000018
9158,6463,644,2955,4091,8028,3605,2098,4571,5768,5236,7124,1757,6684.76,99.68,99.15
9126,4677,9995,8864,3296,4860,7238,8421,9906,7570,8784,4276,4465,6695.49,77.34,81.28000000000011
3797,271,1945,1620,2827,6793,4075,3572,4662,105,8774,8442,7016,6694.53,174.2,172.3500000000003
815,1995,6302,4464,1937,9251,5880,3761,8956,4623,3630,3934,1061,6679.92,124.6,131.30000000000015
8489,5038,5362,3827,6114,7868,4699,9536,2807,2249,253,9062,8271,6697.99,113.93,115.36000000000017
5372,6012,9591,414,2127,6481,2543,2896,8363,1252,2221,3383,8138,6692.72,132.16,136.34000000000012
9330,3497,3855,2164,3828,6301,5791,9969,9683,2171,8166,1769,426,6698.93,94.02,98.94000000000001
8625,9766,5875,8015,7464,5057,207,3605,9101,2671,8105,7879,8946,6691.93,109.14,111.81000000000013
5143,1290,4246,2251,9900,6583,3130,5184,4779,6292,969,3418,627,6685.05,130.39,133.54000000000016
