n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,monte_carlo,monte_carlo_max_hop,two_hop
590,682,251,282,62,504,717,254,49,720,204,815,292,903,382,906,100,73,430,81.54,52.5,52.92904768605327
787,321,388,770,787,569,0,917,292,669,962,777,134,588,28,452,146,836,704,103.19,65.59,67.01728746176461
671,800,977,19,745,48,718,437,274,109,831,824,391,575,133,328,67,313,173,85.12,49.19,49.12014184197017
140,268,509,692,330,292,34,65,555,782,756,570,28,28,124,51,992,133,846,89.01,52.81,63.115611091345066
365,446,880,264,972,974,626,17,236,540,439,128,371,206,338,366,12,167,598,104.76,61.5,63.072288917141734
634,846,167,744,97,274,543,620,175,645,726,147,456,783,961,444,813,439,121,72.83,46.25,47.61670561277913
341,324,456,936,233,472,610,444,175,452,49,785,684,958,164,545,484,992,503,87.46,52.92,52.28105774863035
610,1,106,129,833,870,429,701,53,212,1,33,930,590,241,493,721,902,362,88.78,54.69,58.14419614666812
402,475,220,206,283,841,205,310,575,528,365,782,769,804,247,375,360,828,254,71.05,42.25,43.22980804772615
833,679,860,930,870,63,632,506,410,357,146,146,851,244,501,390,38,96,173,82.66,47.86,51.12561691473059
406,101,771,734,288,921,942,204,815,816,773,331,488,699,481,883,546,638,93,58.1,40.53,39.03354613434535
819,203,385,705,10,106,524,619,600,635,189,832,398,22,324,694,27,624,319,108.83,69.78,70.32047941303499
525,392,513,487,558,720,707,408,460,806,835,593,946,957,709,570,686,62,549,64.84,41.96,41.632834315937544
150,817,426,371,981,607,20,695,788,534,211,290,293,79,27,89,792,364,625,101.45,63.27,63.96345406575199
594,883,777,963,731,423,314,991,951,14,281,951,733,240,73,38,771,90,686,96.26,53.83,56.148302510174005
984,979,307,918,359,704,820,858,954,756,620,625,575,213,494,529,94,917,123,68.56,42.73,43.263322406050925
244,350,998,804,557,433,402,992,3,687,399,387,182,768,668,541,921,212,932,152.22,92.4,93.73013607585618
693,628,329,395,331,111,863,705,910,566,704,732,382,254,908,102,217,300,312,75.52,44.47,45.634873023108526
816,274,816,637,79,918,973,171,78,647,422,784,189,230,671,64,583,579,641,65.69,42.42,43.53172661237169
850,655,899,559,745,416,426,236,435,494,541,610,926,250,309,428,287,86,619,66.14,41.91,42.46391077857703
910,989,338,191,431,31,152,118,302,576,568,617,576,188,444,194,333,608,104,70.75,43.34,47.63802957284095
661,805,706,338,746,78,62,975,496,141,854,531,980,74,326,193,870,479,660,77.04,45.75,45.479153265495974
393,948,923,234,914,713,630,860,816,488,860,103,1,198,688,160,114,95,343,74.22,46.4,48.252497417824294
155,376,630,778,107,588,776,451,753,330,835,788,823,187,730,915,946,562,979,63.24,39.02,39.36442597399758
594,640,890,988,891,105,374,105,833,66,200,211,331,383,177,469,912,696,760,63.24,40.8,43.13693391672151
783,85,251,412,964,556,477,384,5,120,611,985,383,135,700,3,507,390,985,145.42,87.56,93.54625944385862
350,967,760,73,502,778,960,738,729,303,16,119,828,490,362,768,755,200,940,90.51,52.77,53.20707514891909
351,391,145,297,927,510,657,713,784,807,90,589,112,303,417,345,965,868,64,71.47,45.65,44.96559236194465
531,442,51,225,430,243,277,682,737,75,149,277,990,98,566,489,442,184,554,73.74,44.37,49.51204370323597
864,395,876,956,250,94,463,364,132,830,85,5,837,784,144,369,830,16,21,100.62,63.92,66.20302216389007
256,575,469,979,392,888,529,80,54,994,223,198,997,822,453,12,483,531,87,96.96,57.91,61.17180581918404
979,285,612,977,859,703,481,520,23,54,163,402,789,797,512,445,880,607,962,83.7,53.68,53.931501567172184
924,676,660,633,651,601,36,220,24,431,788,740,423,831,895,843,845,442,937,91.81,55.84,54.57321080546987
919,387,15,835,774,170,913,346,151,310,799,195,432,854,995,78,378,221,403,74.85,46.92,48.01118328349474
431,195,277,142,481,372,293,2,682,648,126,787,173,776,468,78,75,703,390,86.37,48.38,50.915218093098744
36,918,419,906,153,201,663,18,765,848,505,983,325,613,469,139,479,242,79,108.13,65.61,67.18132336165459
942,373,960,633,31,14,189,831,439,87,273,134,771,669,381,342,793,219,155,95.41,59.72,58.80960396328315
300,530,917,998,913,718,570,92,290,113,108,658,409,383,310,377,928,489,560,70.86,46.0,44.9812263183035
595,454,989,891,246,988,582,143,269,17,558,12,749,394,136,243,492,680,722,81.88,51.12,53.477304025085765
57,8,15,789,216,428,238,516,733,625,241,811,314,57,823,512,244,39,708,103.35,62.29,70.3992085930881
394,905,354,795,21,571,304,450,460,105,670,126,946,927,379,582,542,282,730,83.08,52.2,53.5714101267549
597,959,608,972,399,386,309,867,170,605,954,698,79,660,459,56,753,217,541,71.54,44.78,46.32116060225986
634,398,100,946,525,306,837,564,382,849,418,141,467,359,64,506,3,579,578,145.62,89.69,91.61027971607085
