n0,n1,n2,n3,n4,n5,n6,n7,n8,monte_carlo,monte_carlo_max_hop,two_hop
7986,5538,8977,3282,267,249,9949,8199,5224,501.96,22.47,22.670000000000005
6103,7930,9513,1692,2871,1867,894,7287,4521,453.93,19.72,19.930000000000007
1333,8970,462,3248,4069,1222,980,5494,5646,459.02,21.49,21.640000000000004
6302,5127,7982,9917,2592,8039,4502,968,7823,473.17,22.82,21.81
7666,9574,4034,8863,947,8420,8327,6570,7352,356.03,23.74,21.110000000000014
8571,7767,2618,1927,9399,8360,2805,5400,4806,428.29,18.06,18.000000000000004
9281,8950,6537,1893,7317,9081,2993,4882,2609,468.75,20.69,21.960000000000026
5849,5785,8667,914,6556,9941,4511,1156,4040,531.54,23.33,24.600000000000037
9042,7729,7181,4669,3111,7814,8976,1082,1032,561.0,25.13,24.030000000000022
4788,1118,2972,6469,1659,8963,2028,2981,3019,552.83,24.9,26.24000000000002
7952,5285,9314,3892,3164,7176,4094,6215,485,447.04,23.43,23.600000000000012
8517,5706,4994,1954,8635,8461,8045,9379,646,414.28,22.06,21.11000000000004
9555,1547,7267,6031,4172,5382,1740,1725,3166,513.51,22.31,23.51000000000002
7971,6953,9300,7374,1646,2132,454,5774,2066,462.27,23.51,22.92000000000002
6385,7340,5454,8521,6949,9743,1812,6226,7702,489.6,18.94,18.800000000000004
6847,2068,1215,2980,3858,7272,3295,4523,9938,496.3,24.07,22.790000000000024
9185,2453,3471,8546,19,5465,5982,1416,2701,795.55,46.12,46.360000000000014
8277,5232,9208,6827,4919,2234,3598,6169,211,500.64,25.2,22.730000000000004
9698,1757,2522,3622,1059,2612,2404,8100,4724,484.89,22.39,23.750000000000007
8905,6345,1443,7213,4734,1224,6302,7237,8140,458.51,16.94,18.510000000000005
7137,5482,7931,3835,5075,722,9483,1664,339,599.16,30.55,29.890000000000022
9170,5933,6968,205,4229,6064,672,2890,1065,460.01,22.55,22.180000000000007
8934,7969,858,8251,281,861,1644,5225,2249,580.34,26.09,27.140000000000015
4093,5923,5814,8246,8830,5879,1351,3952,3094,356.75,18.37,18.690000000000005
8338,3913,4601,1603,6868,492,3143,376,1847,579.84,27.82,27.150000000000013
6682,5182,2429,8193,4390,3706,948,5370,5830,595.32,24.24,24.05000000000001
8393,6236,8647,2684,5258,4977,2617,338,4432,441.65,19.44,19.350000000000005
260,8648,719,4839,9064,2305,4929,8899,9842,512.26,24.76,25.230000000000015
3394,444,2289,698,8499,9898,2150,5787,4477,564.63,27.29,29.21
7276,4268,5674,4951,2221,5959,7491,7287,3753,379.41,16.99,17.05
8558,8945,5236,1401,8707,4225,9359,20,4711,730.63,37.72,38.81
5612,8273,1919,4479,248,3,9529,7649,6582,863.98,76.28,75.33999999999993
9524,8692,3286,232,2,2110,9157,824,5491,788.7,48.69,47.45000000000005
5464,9157,3613,6165,9102,9249,3363,8020,7425,343.64,18.63,17.900000000000023
