n0,n1,n2,n3,n4,n5,n6,monte_carlo,monte_carlo_max_hop,two_hop
3815,2324,3063,7439,1841,7810,5643,59.91,21.42,22.464371325511774
4230,2132,457,3409,5934,5488,7755,30.93,17.06,17.45658800351397
4794,4855,9063,5357,3015,9716,1323,33.29,15.61,15.321960062128205
1680,8736,9516,5042,2562,6170,2407,45.13,21.11,21.338242615001977
2051,3650,5175,8328,3978,3877,3013,36.22,16.91,15.791101124312824
4768,6102,6877,757,2166,9850,336,41.27,20.13,19.391289558088012
6452,1276,1199,2163,6885,4905,9023,40.54,21.36,20.229458903505567
6828,2331,9684,6917,4882,5809,1385,32.56,16.07,15.357697789463485
4064,7287,6049,8670,947,6167,6694,32.57,14.79,15.872668606012436
138,6835,5253,7230,3342,6088,4805,61.91,26.41,26.333791596170762
7715,1491,3038,1779,4537,1837,9145,34.38,17.25,18.33665009213551
9921,2521,7309,6533,3037,6909,7073,31.05,15.95,15.77037976417006
2862,4062,7429,5576,8574,2335,5822,33.35,13.77,14.645704996493528
