n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,monte_carlo,monte_carlo_max_hop,two_hop
761,400,835,766,131,606,622,149,880,407,817,198,557,28.16,20.74,21.17
540,174,582,183,206,889,256,378,800,300,30,862,822,29.95,23.12,22.69
455,912,417,972,834,392,323,565,927,597,317,648,509,26.65,21.13,21.21
541,703,723,306,917,880,683,495,30,615,195,744,649,25.83,19.6,20.250000000000004
2,110,788,774,677,239,503,177,536,640,471,203,198,31.9,23.89,24.4
800,542,216,37,832,512,948,661,969,454,114,579,290,26.78,21.1,20.590000000000007
982,673,913,156,138,478,811,90,638,945,51,26,368,32.79,21.96,22.200000000000014
633,239,518,79,510,551,19,952,347,330,336,891,352,29.15,21.89,22.230000000000004
711,710,137,82,878,859,615,793,949,34,733,81,757,30.18,21.44,21.050000000000004
351,826,210,954,64,882,204,447,715,775,226,496,323,30.71,21.39,22.39
111,805,43,418,79,865,205,722,164,400,509,484,716,30.3,24.25,24.15
69,550,872,432,213,664,500,311,23,475,468,775,707,34.77,25.44,25.900000000000002
411,448,184,466,920,38,736,262,375,869,379,458,542,30.03,20.82,21.600000000000005
370,610,411,229,993,2,823,214,264,801,378,146,875,32.09,21.54,22.610000000000003
471,546,199,162,214,22,174,598,413,515,172,651,28,38.1,26.16,27.040000000000006
142,112,623,172,453,502,189,61,861,22,412,458,325,32.42,22.71,23.620000000000005
417,33,720,731,52,244,412,40,406,505,27,930,988,32.75,26.95,26.620000000000005
904,224,247,96,398,485,195,168,340,637,118,354,934,32.84,23.43,23.729999999999993
126,608,53,826,745,297,281,806,964,476,808,955,984,26.68,20.8,21.150000000000006
307,500,255,574,272,30,834,345,644,353,324,95,58,33.68,24.17,24.090000000000003
698,445,992,91,606,632,3,107,31,697,92,19,174,44.16,38.81,38.010000000000005
515,37,493,55,193,670,521,921,339,205,921,997,775,25.5,18.86,20.210000000000008
488,348,822,490,939,359,962,674,35,391,312,769,621,24.05,19.34,19.000000000000004
646,969,403,89,970,300,188,870,422,117,519,399,560,29.88,20.65,20.450000000000003
