n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,monte_carlo,monte_carlo_max_hop,two_hop
904,749,779,667,446,8,555,328,242,844,853,50.24,29.71,29.770745619110176
608,399,554,291,480,653,922,154,368,323,206,42.72,28.15,27.15931149105435
948,510,97,994,145,802,209,339,257,144,430,56.89,31.9,32.62151726528487
369,256,91,350,192,252,724,245,745,625,47,52.98,29.71,31.351077463519733
344,962,381,663,786,626,63,882,147,181,871,50.98,30.28,29.685009290116433
64,440,454,797,278,135,328,535,590,865,119,41.72,23.33,23.26058700345188
346,663,786,727,625,980,404,233,55,401,784,39.91,25.48,25.913301934235125
485,501,634,892,324,557,857,636,611,92,602,29.97,21.18,21.153003658123772
522,551,680,507,410,860,708,465,173,421,395,35.29,23.17,23.19988277956929
537,463,47,899,110,462,605,131,121,959,943,49.88,28.81,29.29072595214441
696,512,937,179,79,402,313,468,817,724,9,80.28,46.78,46.4220169793283
259,108,684,359,225,177,25,150,437,685,94,57.26,30.42,31.77205687432321
344,994,839,664,476,50,878,920,486,247,66,43.88,28.1,29.17941992010414
493,142,572,31,141,712,514,555,61,49,204,55.68,33.54,34.7598578847824
559,940,6,841,833,535,345,698,541,896,244,78.56,43.21,44.455991599954785
143,380,503,1,134,553,119,252,110,477,216,40.38,25.69,26.33223802002441
817,54,630,220,641,388,344,637,663,879,403,47.45,29.19,28.85931135286357
925,957,734,537,519,799,938,691,166,523,107,33.16,21.9,22.065669381615834
