n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,monte_carlo,monte_carlo_max_hop,two_hop
4095,9193,4355,493,5520,5648,5194,1535,929,7133,1464,9703,59,1716,496,359.14,68.3,68.52371881887981
1483,312,2790,8241,599,7894,883,3098,8351,5427,3288,7813,5570,7841,5759,209.56,42.48,44.72488717297631
560,6263,4992,9943,6461,1438,4807,3016,6767,1878,8314,6387,8966,5475,8790,156.01,34.75,35.67027290302019
6599,2861,6321,9065,5885,3013,5944,6794,7183,3758,7282,7874,5655,4414,2781,155.01,31.86,32.49279578566081
8307,9923,6337,7980,700,2521,2812,376,7650,1507,1590,5244,3885,9841,924,220.85,47.85,49.234464432325424
789,7371,7642,5467,6063,27,1180,3192,6542,1720,5545,9320,5100,1804,7378,308.66,63.89,63.83412301768488
1325,3447,3943,799,2501,2344,9593,190,1836,3767,4710,3420,3605,9215,8447,190.65,42.55,43.51977831826267
6875,8272,9901,5225,8769,3082,7659,2909,1296,676,1843,9800,393,1661,3264,184.22,40.25,40.595724193431174
4178,1405,1786,7622,6539,3649,1783,7955,5669,6600,9881,7300,1817,4781,9738,219.3,38.69,39.35940442019759
7269,6216,3374,1915,8833,123,7605,4903,1265,5596,5671,3144,7938,1171,9055,172.79,38.02,37.79839231708628
5974,6928,1097,9926,8498,3508,4094,5743,1023,5491,3868,7058,7192,1379,4111,141.86,39.63,38.271212904514535
3569,5295,2707,3390,3583,7595,8777,6860,6025,3131,6705,7932,6667,7690,9626,153.15,33.7,33.256761644578816
572,4784,296,3024,1570,463,2468,4821,8249,8510,1005,7734,664,3191,3397,252.64,55.22,56.52611910153522
4521,8056,7084,616,5649,7670,3223,4707,2342,1693,7275,4904,6735,7271,1270,177.3,38.18,38.3677239089547
3368,2510,7984,4658,6144,6104,2643,7066,5110,7588,7767,8617,8881,3647,5893,165.35,38.87,38.38484143003334
4725,4672,481,7588,6119,5886,4872,3974,8512,164,234,2154,8697,2443,8779,299.78,54.25,56.215823607391975
341,2715,823,31,3341,7630,5814,5944,9054,575,8031,3031,3911,216,4535,298.19,62.02,62.53886766489571
7083,5542,839,9887,8945,1537,7373,5105,4288,4050,8169,6852,4265,5562,721,199.73,37.83,38.99089200680701
480,7037,611,2713,9236,4052,2222,6757,8336,5528,9041,2190,4580,272,2764,285.75,48.32,50.00681294345798
743,279,7959,990,7537,7659,8538,9873,8441,6789,6079,8493,2798,4812,2997,203.3,41.99,41.771661241820766
1208,2286,8963,1664,6687,5765,7276,7452,4561,4187,7414,4637,8680,2544,9457,177.67,37.5,36.577552848323904
5159,2288,8552,618,6748,7955,3776,7519,9592,4479,501,5185,9412,9793,9007,165.6,35.95,37.39687252184137
1901,7988,2051,4585,4385,1678,7130,1242,6083,551,8434,7979,7337,3196,5101,162.47,39.97,39.874580651825944
5665,2967,6280,6497,5180,807,4438,3509,620,5189,5200,6431,9096,4619,582,243.56,45.16,45.89363506145353
2154,6838,4099,6772,1298,8113,3764,3276,1303,8622,1886,2025,87,4623,1136,239.01,49.48,49.87829218130657
7065,4384,7910,7565,4388,4741,8947,9167,772,2861,3865,7972,2753,2362,2455,174.01,38.05,37.2450714601062
2914,7656,6514,139,2330,6419,894,2953,2886,5095,3106,2142,2404,799,8585,345.02,58.23,57.31436495830298
2490,8760,3510,6265,1754,7098,6387,2978,430,4600,1711,2151,1885,2379,4833,232.52,42.77,44.241841764703324
2079,6284,5774,9890,1260,3145,121,6076,2334,7837,4029,1053,5806,8946,7947,250.85,54.95,55.65742940782149
1700,5132,7745,349,5658,8697,7248,9320,6674,7603,8814,8816,5002,7246,2443,152.39,38.73,38.14367789969776
8756,7475,6290,3284,9737,4842,2940,4927,2751,5192,4356,3315,2136,869,9889,213.67,43.12,43.300191068791726
932,6705,2914,1877,9394,228,2587,2007,6609,9321,6130,8605,4507,1515,7592,224.07,43.47,44.18942184504412
8853,9517,7228,5338,2397,9674,9836,3580,5294,7474,8296,9235,6119,5212,9683,166.42,32.1,32.172751317946094
5872,9847,5636,5592,4698,4875,4419,2987,2018,9864,8205,3625,5587,4073,4626,176.82,36.55,36.50580071370973
7122,4372,7420,2127,7829,5480,8706,2881,8658,8538,7234,844,1135,6839,6971,145.23,36.23,36.59666457617682
9008,4771,972,3872,6253,6291,3460,1225,6006,8421,3516,906,8989,8094,1927,194.62,42.41,42.63724931934082
7063,6382,9181,5923,194,4925,6095,8279,6079,6537,7196,6103,1707,9575,8111,179.27,38.12,38.97661724556537
2395,5298,3603,0,6077,1053,3,2285,1336,3426,5253,7129,4636,3225,483,413.96,79.79,82.36147369308158
465,8827,5141,8754,7281,5963,3490,7231,5557,9571,1978,8347,6197,3684,7788,173.28,36.85,36.65325884973912
2276,5024,4698,9055,3111,1922,2845,9811,1389,7057,459,5755,6271,122,8031,263.41,46.77,47.318525952425745
3009,7744,4492,2293,6369,3336,8383,7083,9602,4881,7146,4701,1589,1368,1054,163.2,41.61,41.30217768120406
7236,5261,1081,155,5314,7863,6915,1542,5432,6860,9549,3702,5287,3308,6420,206.01,42.77,42.29524821416483
1449,850,8487,435,8338,8580,3922,9402,1397,2948,3804,7680,8831,6488,4663,197.84,41.49,41.01344565776805
5633,7470,8656,3712,3315,9389,4891,5615,9634,2177,9534,8709,5970,8487,5814,165.33,34.56,36.02716454026038
5158,9579,8614,3335,7324,981,7091,5113,3177,8085,3540,3010,1697,7484,1961,172.45,35.98,35.954975210135764
8212,6506,3472,5167,3055,617,5357,8171,4045,6296,933,3879,6575,6011,6376,213.01,41.86,40.11016256519789
3660,2910,4668,4107,5662,4314,865,5573,1821,3401,3611,4977,7244,2833,9254,186.02,41.25,41.20725756263834
2757,4022,7913,3426,3529,5976,9983,3806,2879,8694,6459,9804,8839,6955,9793,194.16,35.93,33.47856158395437
