n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,monte_carlo,monte_carlo_max_hop,two_hop
188,735,497,330,582,243,722,197,448,255,786,388,30,532,356,312,122,539,528,41.58,30.12,31.03
502,586,40,597,96,454,745,376,260,336,929,108,107,197,892,498,434,581,460,42.22,31.97,32.75000000000001
102,707,865,133,28,360,129,399,458,919,340,686,532,933,706,434,608,113,803,44.69,33.9,33.56
389,481,976,692,649,427,853,129,795,75,736,186,241,454,205,282,621,574,858,43.76,29.64,31.21
683,856,941,934,153,216,980,534,1,834,910,341,942,373,88,817,168,517,327,41.34,31.55,31.62
575,849,877,426,964,741,307,139,224,385,938,13,606,109,923,157,226,66,869,41.73,33.42,32.830000000000005
786,163,659,150,506,295,895,949,556,396,90,450,727,295,980,76,393,452,943,40.28,28.58,31.210000000000008
508,446,342,495,748,239,317,923,45,931,941,592,694,104,21,573,932,635,370,44.34,34.54,33.81
665,720,435,12,742,264,970,719,379,42,666,643,180,638,66,558,498,960,979,45.52,33.41,34.17
53,515,17,53,739,910,102,326,140,255,836,370,864,904,363,820,515,678,551,42.18,30.51,35.94
367,858,84,247,999,891,891,656,939,193,521,244,287,100,642,942,429,30,196,41.72,32.12,33.53000000000001
23,115,781,417,323,151,512,274,231,59,956,335,906,364,524,389,781,540,167,47.56,34.6,35.6
879,635,328,997,941,809,776,648,642,715,311,163,21,711,277,748,848,16,540,43.13,33.79,34.03999999999999
44,638,625,821,302,566,144,308,908,556,615,212,27,143,713,43,738,531,779,46.52,36.21,37.65
618,134,361,279,454,740,987,685,266,354,999,992,720,309,729,912,699,138,372,36.1,28.64,29.180000000000007
468,455,628,710,234,775,534,904,690,642,821,559,327,844,87,544,264,981,584,37.44,29.39,28.940000000000005
779,685,1,889,294,350,906,517,119,279,15,0,595,478,710,411,913,985,977,49.55,37.41,37.76
641,900,716,595,543,205,870,14,708,0,131,825,641,572,51,908,343,857,341,53.59,41.66,44.44
572,942,646,225,792,385,568,578,960,210,501,464,773,303,415,738,965,812,531,37.87,28.93,29.28
596,942,888,435,502,860,764,804,96,861,396,542,330,435,908,850,510,559,385,36.81,27.23,28.93
616,682,63,977,544,850,899,822,796,682,203,822,239,575,163,397,425,324,248,42.84,27.44,31.390000000000008
269,563,345,819,512,10,882,306,241,428,400,549,267,865,493,341,62,496,637,48.0,35.7,36.54
234,878,587,933,177,367,984,173,891,748,164,773,236,194,838,62,974,686,666,45.67,33.49,34.24
388,584,534,234,578,945,905,102,128,679,265,301,35,154,705,495,80,373,873,41.52,33.6,32.66000000000001
101,624,732,524,542,273,794,890,666,117,759,594,680,849,133,673,728,50,656,38.5,32.4,31.120000000000005
114,355,292,359,748,280,140,805,978,703,907,934,585,62,897,657,650,717,163,40.11,31.9,32.46
772,414,9,24,905,448,479,376,413,232,680,56,368,604,690,479,343,307,935,45.77,35.19,37.11000000000001
561,420,136,275,985,439,71,76,230,337,196,756,541,414,56,457,300,240,315,42.04,33.04,33.51
844,331,905,282,418,60,1,8,437,792,895,33,667,197,233,559,107,814,907,49.98,34.88,35.64999999999999
858,81,486,630,629,609,137,186,973,452,505,883,729,694,76,819,31,566,265,43.41,32.0,32.49000000000001
294,51,565,950,359,82,277,376,516,877,314,475,549,239,246,63,72,232,450,45.17,30.95,31.980000000000008
317,49,867,117,444,910,565,923,269,889,417,741,950,692,117,141,717,775,320,42.55,31.55,33.58
867,428,701,737,887,357,814,500,385,499,695,496,523,75,849,401,349,389,333,34.55,27.42,27.47000000000001
429,315,293,482,459,0,758,253,75,270,77,645,547,937,591,51,818,141,33,56.33,40.89,42.099999999999994
897,9,111,622,931,220,537,505,457,301,210,89,295,574,893,322,311,498,159,48.15,38.27,39.050000000000004
889,633,460,359,862,268,299,907,186,994,412,799,304,29,744,713,123,18,740,42.52,32.45,33.720000000000006
982,224,708,418,563,221,586,148,844,142,893,629,101,180,946,264,471,459,903,38.46,30.77,30.580000000000002
885,183,943,597,253,698,390,313,418,628,892,925,976,426,705,29,161,624,1,44.63,31.24,33.080000000000005
799,709,465,110,859,139,363,767,462,123,442,282,96,37,73,291,653,824,910,42.93,33.72,33.95000000000001
907,188,791,926,423,333,63,428,343,42,512,7,985,589,142,905,485,651,832,48.23,35.66,35.43000000000001
132,749,677,461,133,268,481,529,767,938,396,275,325,844,327,592,297,351,16,41.71,31.04,32.53000000000001
217,744,167,401,308,191,92,318,305,42,168,481,267,597,139,636,633,455,439,40.34,30.98,31.470000000000002
