n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,monte_carlo,monte_carlo_max_hop,two_hop
854,89,272,931,98,123,777,877,834,162,256,644,381,266,228,204,725,711,996,690,761,47.63,33.47,34.300000000000004
200,504,576,550,198,417,989,731,680,275,477,251,413,713,90,261,273,155,744,759,188,47.78,34.54,35.18000000000001
769,21,620,612,390,137,466,511,125,614,108,827,630,397,403,559,926,834,340,137,226,40.67,32.83,34.580000000000005
344,826,828,241,366,559,952,640,86,110,86,0,371,577,475,969,376,661,225,694,458,45.29,37.24,38.07000000000001
557,915,668,960,6,641,463,262,701,596,348,161,376,64,300,814,211,273,626,164,414,50.28,38.63,38.96000000000002
839,861,125,27,242,579,155,824,913,17,697,708,185,624,73,641,928,412,131,429,731,50.95,40.66,40.430000000000014
735,706,287,602,668,490,75,425,152,287,110,662,518,154,145,488,543,266,7,376,956,50.24,37.12,40.09
912,100,580,592,660,288,662,120,1,235,801,491,895,572,764,169,534,675,866,361,966,43.64,33.21,32.8
854,283,203,168,692,345,681,18,760,240,869,84,196,8,779,409,726,6,743,492,21,61.48,48.71,50.94000000000001
871,880,730,699,53,760,745,859,194,307,825,878,659,311,557,73,446,563,820,215,688,42.62,34.25,34.800000000000004
920,525,209,95,96,83,220,326,38,470,850,680,189,734,586,678,280,606,367,100,804,52.58,37.09,38.87
926,562,910,273,786,762,263,147,59,41,373,711,80,872,147,783,336,713,17,953,269,47.56,36.3,38.529999999999994
948,808,580,243,181,26,593,54,437,5,725,660,357,717,74,134,198,145,671,750,578,53.51,42.41,43.88999999999999
704,469,545,473,325,746,613,458,605,506,229,201,481,277,453,62,482,587,212,145,458,46.48,35.26,38.419999999999995
163,482,115,435,382,761,191,343,476,637,97,686,34,138,67,842,376,71,989,263,525,48.4,38.47,39.32999999999999
851,264,122,512,282,451,422,218,968,804,992,406,223,299,656,404,849,526,921,322,360,40.04,32.69,32.77
156,203,71,898,45,877,49,340,741,913,605,946,68,807,959,464,834,424,646,370,730,48.74,36.09,36.800000000000004
896,618,681,19,762,342,186,778,746,962,453,261,56,985,49,795,270,467,239,27,274,53.66,36.83,39.58000000000001
933,955,406,52,212,439,107,332,57,668,415,113,430,618,81,945,528,300,352,253,19,46.76,37.14,36.960000000000015
721,485,887,161,422,184,50,770,373,438,406,365,300,567,566,751,27,642,726,972,963,45.07,34.13,35.260000000000005
732,426,349,669,976,495,16,321,192,240,124,985,390,362,735,398,609,647,64,356,431,51.53,38.19,38.17000000000001
494,679,693,989,948,198,980,912,377,921,394,251,579,859,375,898,921,117,964,296,68,42.2,30.64,32.77000000000001
434,607,316,316,474,583,966,192,397,210,518,696,331,440,602,379,558,349,186,789,60,45.02,30.72,34.06
77,770,59,850,457,346,872,204,924,103,802,638,226,592,141,957,353,694,241,587,770,43.61,32.3,36.0
608,916,931,352,942,59,171,302,125,512,131,916,12,20,871,972,986,214,512,237,778,50.85,37.03,41.309999999999995
660,678,954,671,894,402,226,980,62,314,884,102,393,54,741,806,277,798,246,873,514,46.76,35.61,35.54
818,458,231,186,372,378,287,772,885,48,1,330,312,82,668,889,652,614,2,982,115,47.1,35.65,35.980000000000004
102,172,318,224,675,523,756,31,793,847,476,761,667,657,370,467,868,999,106,871,887,47.01,34.01,34.17
392,252,151,526,862,576,324,688,14,555,75,737,595,52,642,547,842,512,5,634,49,55.72,43.74,44.55
109,772,724,348,83,339,47,119,53,958,661,165,955,700,561,57,402,619,758,222,600,48.95,35.35,36.230000000000004
613,271,756,692,953,553,734,737,2,245,55,175,242,195,462,88,781,565,26,933,210,50.15,37.5,37.14
912,537,509,332,446,84,24,290,93,26,963,14,91,860,257,323,572,733,395,251,392,56.31,43.0,44.830000000000005
757,72,904,18,638,617,120,930,385,787,163,124,100,747,946,772,605,163,66,673,249,47.82,35.84,38.86000000000001
638,826,204,839,49,877,336,76,197,482,980,602,931,8,219,529,357,960,310,340,721,46.47,36.17,36.57000000000001
506,428,959,754,894,369,975,709,92,355,108,339,701,368,865,189,307,825,699,602,133,39.37,32.23,32.67
469,158,507,465,525,352,596,220,155,934,736,79,268,500,21,161,980,550,100,861,820,45.99,34.96,37.03
384,785,30,438,76,623,768,247,838,221,527,904,104,767,94,786,219,468,423,35,15,47.45,38.56,37.43
791,580,982,301,325,601,640,703,151,91,984,994,726,46,64,506,717,645,692,507,446,48.13,36.37,36.23000000000001
552,599,379,954,929,698,726,484,544,991,364,653,310,794,747,569,722,774,135,792,539,36.95,31.2,30.500000000000007
511,771,475,901,202,149,668,538,744,966,420,39,67,951,722,924,663,161,663,788,156,45.87,34.49,36.06
25,907,913,745,472,819,230,151,151,277,545,542,5,524,996,436,178,735,154,861,814,50.06,36.71,39.34
436,241,422,588,840,666,584,207,550,51,8,720,512,896,876,827,732,105,193,342,578,42.78,34.46,34.960000000000015
463,35,33,710,905,690,848,252,992,157,937,638,857,105,304,75,667,411,894,317,8,47.03,39.48,38.949999999999996
692,75,368,797,93,721,929,812,388,192,250,922,385,194,903,329,663,813,127,501,841,43.93,35.42,34.59
459,354,443,845,348,513,624,882,753,562,997,361,738,415,791,560,705,535,228,617,989,44.2,32.44,33.21000000000001
