n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,monte_carlo,monte_carlo_max_hop,two_hop
135,328,535,590,865,119,346,663,786,727,625,980,404,66.59,32.66,32.491511064122044
233,55,401,784,485,501,634,892,324,557,857,636,611,58.07,30.94,30.65586522459146
92,602,522,551,680,507,410,860,708,465,173,421,395,47.04,26.04,27.465940854111466
537,463,47,899,110,462,605,131,121,959,943,696,512,60.59,29.74,30.32975641111509
937,179,79,402,313,468,817,724,9,259,108,684,359,93.32,49.99,50.3343927285596
225,177,25,150,437,685,94,344,994,839,664,476,50,75.12,38.01,38.647231559990466
878,920,486,247,66,493,142,572,31,141,712,514,555,81.95,45.03,45.39570498475864
61,49,204,559,940,6,841,833,535,345,698,541,896,108.93,52.97,52.09891849289512
244,143,380,503,1,134,553,119,252,110,477,216,817,72.16,37.98,38.239477385467794
54,630,220,641,388,344,637,663,879,403,925,957,734,77.04,36.11,37.014968004349676
537,519,799,938,691,166,523,107,853,837,155,642,980,58.37,28.13,29.056164075159057
215,177,386,206,304,348,441,147,437,133,407,321,816,69.84,34.21,34.45151612162263
306,830,101,575,102,484,278,291,540,783,500,286,234,61.55,33.87,34.895647698113976
430,719,140,715,560,674,106,31,616,564,769,206,217,84.15,39.45,40.02722729454641
199,400,593,40,660,141,640,24,760,268,719,739,486,67.31,33.58,32.37706600056741
552,48,754,790,881,842,229,855,147,612,320,39,705,59.63,30.45,29.637428447118662
200,110,143,651,710,557,938,190,781,978,94,703,920,70.13,36.77,36.64953727932892
889,475,644,298,986,213,161,843,332,717,839,283,870,44.92,27.54,27.22940844265124
924,530,582,69,422,919,425,683,737,34,466,304,675,73.7,33.56,34.1123775727754
882,124,651,719,751,278,966,932,16,219,428,341,267,81.02,36.83,37.46813653841074
550,745,401,607,538,765,945,913,205,440,790,131,709,60.68,30.53,29.677500001318375
174,805,895,458,892,465,993,354,392,484,627,260,629,52.34,26.27,26.23809243461799
195,594,487,455,196,773,480,870,587,345,316,72,174,63.3,31.88,31.250425034276514
378,619,641,880,482,227,786,630,669,674,590,906,131,58.3,26.23,26.00565753055562
698,956,315,890,212,548,856,843,306,100,12,807,891,68.33,32.33,33.69594658864736
29,202,320,59,326,546,262,811,741,680,351,842,451,75.47,36.61,37.146044441579726
